internalId,overall_quality,specificity_score,analytical_score,domain_score,quality_rank
2c1d8ae2-736e-4bb8-84a7-4a18037a16d1,2.9333333333333336,4.6,1.4,2.8,5
3277d903-ffc3-43ac-bdcd-b793b71e547f,1,1.4,0.8,0.8,16
e9454bf3-13a5-49c5-bbc0-22f5d4a8ee72,0.6666666666666666,1,0.6,0.4,22
03dec6d2-4567-41db-92bf-cf3c052238dc,0.7999999999999999,0.8,1.2,0.4,20
423967c4-470f-435b-87cd-13742230f7ad,0.9999999999999999,1.4,1.2,0.4,17
68201eaf-cae9-420a-84f5-3f1f80d247f7,1.2666666666666666,2.6,0.4,0.8,14.5
206c729b-1c2c-44f2-88c1-a4601a9b09a0,0.5333333333333333,0.8,0.6,0.2,24
398eeb69-3417-407d-b112-69b5fca688be,0.9333333333333335,1,1.2,0.6,18.5
c71e55cc-6b1e-4da9-9cee-520e6e75b93c,2.2666666666666666,3.6,1.2,2,7
7a0ebf32-e9a2-48b5-8e23-2f4450f03106,1.2666666666666666,2.6,0.4,0.8,14.5
689cf943-13df-45c0-95bf-28432950d269,1.5999999999999999,3,1.2,0.6,11.5
cfef0a1d-996b-4237-810e-c89949c5c78c,2,3.6,1,1.4,8
328e206b-95cb-402f-9ae5-16c6617d78a6,0.6666666666666666,1,0.4,0.6,22
04c34c9a-9f0c-47b3-8bc3-0bad760e47eb,0.6666666666666666,1.2,0.4,0.4,22
e3384d98-c006-4906-82b8-284aeeb78133,0.9333333333333335,1.2,1,0.6,18.5
b1c5c7c1-0d38-4836-9298-f154b6bfb914,0.13333333333333333,0.4,0,0,28
968f1b16-e7f9-48fc-a6cc-fa01f3876d49,0.39999999999999997,0.8,0.2,0.2,26.5
7f62afc9-cdc5-4b2c-b112-a6ce03757057,1.8,2.8,1.2,1.4,9
8ab097b1-c0d1-42b4-a5c5-48146c12ca4b,3.7999999999999994,8.6,1.2,1.6,4
8bfa9352-7ca8-4dcc-a781-840d54ec2fca,4.466666666666666,7.6,2,3.8,2
926ad30e-f9e9-4141-a7ce-7aed1ded6c8c,1.4000000000000001,1.8,1.4,1,13
a0e5050a-0cdc-41e1-8375-a30d97024f40,1.6666666666666667,3.8,0.8,0.4,10
62115f3d-8cbf-47f4-ba47-0781eb5d8650,4.2,6.8,2.8,3,3
6f253ed9-8414-4400-a7c7-00ba5393a925,2.533333333333333,5.4,0.6,1.6,6
6b4fd189-a62f-475e-9e12-d5f87c98b9b9,0.39999999999999997,0.6,0,0.6,26.5
b8e99330-0cbc-4ec8-8a58-688dce9c983e,4.6000000000000005,9.4,1.2,3.2,1
109ec9af-ef15-4961-a453-043d43d70cf8,1.5999999999999999,2.4,1,1.4,11.5
ea769fec-1ae3-4fb6-82f8-f84fcf8b3e62,0.46666666666666673,0.4,0.2,0.8,25
